user_id,cluster_k4_a,assigned_perk_final
23557,1,one_night_free_hotel_with_flight
94883,1,one_night_free_hotel_with_flight
101486,1,one_night_free_hotel_with_flight
101961,3,one_night_free_hotel_with_flight
106907,2,free_checked_bag
118043,3,free_checked_bag
120851,1,one_night_free_hotel_with_flight
125845,3,one_night_free_hotel_with_flight
133058,1,free_checked_bag
149058,3,one_night_free_hotel_with_flight
152583,1,free_checked_bag
153982,1,free_checked_bag
160754,1,free_checked_bag
164522,0,exclusive_discounts
167852,1,no_cancellation_fees
171470,2,no_cancellation_fees
174997,2,no_cancellation_fees
175032,1,one_night_free_hotel_with_flight
181157,3,one_night_free_hotel_with_flight
182191,2,free_checked_bag
187212,3,free_checked_bag
189676,1,free_checked_bag
190866,3,one_night_free_hotel_with_flight
195192,1,one_night_free_hotel_with_flight
204943,2,one_night_free_hotel_with_flight
204997,2,no_cancellation_fees
205044,3,free_checked_bag
206011,3,free_checked_bag
216796,0,exclusive_discounts
217114,1,no_cancellation_fees
217136,1,one_night_free_hotel_with_flight
220725,2,one_night_free_hotel_with_flight
224996,1,free_checked_bag
226367,3,one_night_free_hotel_with_flight
228195,1,no_cancellation_fees
228872,1,one_night_free_hotel_with_flight
229009,2,no_cancellation_fees
229108,2,exclusive_discounts
229330,3,one_night_free_hotel_with_flight
232647,1,one_night_free_hotel_with_flight
249521,1,free_checked_bag
252835,3,free_checked_bag
258451,2,one_night_free_hotel_with_flight
264470,1,free_checked_bag
276512,1,free_checked_bag
281952,3,one_night_free_hotel_with_flight
283325,0,exclusive_discounts
290123,3,one_night_free_hotel_with_flight
297546,3,one_night_free_hotel_with_flight
298253,1,free_checked_bag
299476,1,one_night_free_hotel_with_flight
306165,1,no_cancellation_fees
306819,2,free_checked_bag
312488,1,one_night_free_hotel_with_flight
313724,2,one_night_free_hotel_with_flight
316527,3,free_checked_bag
317688,3,one_night_free_hotel_with_flight
322867,1,one_night_free_hotel_with_flight
324191,1,one_night_free_hotel_with_flight
328590,2,no_cancellation_fees
330764,2,no_cancellation_fees
330893,3,free_checked_bag
331039,2,free_checked_bag
334787,3,one_night_free_hotel_with_flight
337227,1,no_cancellation_fees
338086,1,free_checked_bag
340166,1,one_night_free_hotel_with_flight
343928,0,exclusive_discounts
347778,3,one_night_free_hotel_with_flight
348817,3,one_night_free_hotel_with_flight
348863,1,no_cancellation_fees
349132,3,one_night_free_hotel_with_flight
350648,2,no_cancellation_fees
353271,1,free_checked_bag
353694,1,free_checked_bag
354050,3,one_night_free_hotel_with_flight
354260,1,one_night_free_hotel_with_flight
354311,1,one_night_free_hotel_with_flight
354950,1,one_night_free_hotel_with_flight
356046,1,one_night_free_hotel_with_flight
357737,2,one_night_free_hotel_with_flight
359072,2,no_cancellation_fees
359080,3,free_hotel_meal
