user_id,birthdate,gender,married,has_children,home_country,home_city,home_airport,sign_up_date,sessions_count,first_session_start,last_session_start,median_session_duration_sec,median_page_clicks,pct_cancellation_sessions,pct_low_click_sessions,pct_sessions_flight_discount_offered,pct_sessions_hotel_discount_offered,flight_trips_count,total_flight_base_fare_usd,seats_sum,checked_bags_sum,discounted_flight_trips,average_flight_discount,total_distance_km,total_savings_usd,discount_flight_proportion,ADS_per_km,scaled_ADS_per_km,bargain_index,hotel_trips_count,total_hotel_cost_est_usd,median_hotel_nights,median_hotel_rate,tenure_days,age_years,total_travel_spend_est_usd
23557,1958-12-08,F,True,False,usa,new york,LGA,2021-07-22,8,2023-01-04 19:30:00,2023-07-14 12:36:00,69.5,9.0,0.0,0.0,0.0,25.0,0,0.0,,,,,,,,,,,2,3802.0,10.0,177.0,722,64.6,3802.0
94883,1972-03-16,F,True,False,usa,kansas city,MCI,2022-02-07,8,2023-01-10 12:20:00,2023-05-28 17:28:00,37.5,5.0,0.0,0.0,0.0,12.5,2,864.0899999999999,3.0,1.0,0.0,,2907.3322551145975,0.0,0.0,0.0,0.0,0.0,2,230.0,1.0,90.0,475,51.2,1094.09
101486,1972-12-07,F,True,True,usa,tacoma,TCM,2022-02-17,8,2023-01-21 08:02:00,2023-07-18 09:35:00,146.0,19.5,0.0,0.0,25.0,0.0,1,189.91,1.0,0.0,0.0,,965.3405679141882,0.0,0.0,0.0,0.0,0.0,2,2199.0,4.0,198.5,516,50.6,2388.91
101961,1980-09-14,F,True,False,usa,boston,BOS,2022-02-17,8,2023-01-19 03:38:00,2023-06-22 13:27:00,133.0,18.0,0.0,12.5,25.0,12.5,5,1242.66,5.0,2.0,1.0,0.1,6608.4209133978065,4.9670000000000005,0.2,0.0007516167727648801,0.0043683807043536065,8.736761408707215e-05,5,2429.0,4.0,132.0,490,42.8,3671.66
106907,1978-11-17,F,True,True,usa,miami,TNT,2022-02-24,8,2023-01-10 17:24:00,2023-07-27 09:43:48,143.5,19.0,12.5,0.0,12.5,12.5,1,4280.56749999999,4.0,3.0,1.0,,13402.323077200932,0.0,1.0,0.0,0.0,0.0,1,4257.0,11.0,129.0,518,44.7,8537.56749999999
118043,1972-05-04,F,False,True,usa,los angeles,LAX,2022-03-10,8,2023-02-05 08:34:00,2023-07-15 02:05:00,137.0,18.0,0.0,0.0,25.0,37.5,3,2339.29,6.0,3.0,0.0,,7365.0735266592455,0.0,0.0,0.0,0.0,0.0,4,5811.0,6.5,185.5,492,51.2,8150.29
120851,1972-09-25,F,True,True,usa,santa ana,SNA,2022-03-13,8,2023-01-04 19:49:00,2023-06-12 07:31:00,44.5,6.0,0.0,0.0,25.0,0.0,1,384.68,1.0,0.0,0.0,,2249.8338724512255,0.0,0.0,0.0,0.0,0.0,1,2002.0,11.0,182.0,456,50.7,2386.68
125845,1983-12-01,F,True,False,usa,el paso,BIF,2022-03-19,9,2023-01-08 14:28:00,2023-07-20 13:15:00,128.0,17.0,0.0,11.11,11.11,11.11,3,1753.32,4.0,2.0,1.0,0.15,8102.344375414725,106.557,0.3333333333333333,0.013151378793936514,0.07643553395933726,0.003821776697966863,3,689.0,1.0,114.0,488,39.6,2442.3199999999997
133058,2005-04-07,F,False,False,usa,austin,AUS,2022-03-27,8,2023-01-07 18:40:00,2023-07-16 20:27:00,45.0,6.0,0.0,0.0,0.0,12.5,1,423.51,1.0,0.0,0.0,,2708.294381612006,0.0,0.0,0.0,0.0,0.0,0,0.0,,,476,18.3,423.51
149058,1973-01-22,F,False,True,usa,birmingham,BHM,2022-04-14,8,2023-01-04 13:30:00,2023-06-19 16:57:00,148.5,20.0,0.0,0.0,12.5,0.0,5,1928.66,6.0,2.0,1.0,0.05,9523.778761552312,9.527500000000002,0.2,0.0010003907312990839,0.0058142496625579665,5.8142496625579676e-05,5,5579.0,6.0,120.0,431,50.4,7507.66
152583,1986-07-26,F,False,False,usa,colorado springs,COS,2022-04-17,8,2023-02-01 20:58:00,2023-06-05 21:34:00,135.0,18.0,0.0,0.0,12.5,12.5,1,367.83,1.0,2.0,0.0,,2178.7890384550965,0.0,0.0,0.0,0.0,0.0,1,426.0,2.0,213.0,414,36.9,793.8299999999999
153982,1978-08-15,F,False,True,canada,toronto,YKZ,2022-04-19,8,2023-01-09 19:34:00,2023-07-20 20:37:00,95.5,13.0,0.0,0.0,0.0,12.5,3,656.87,3.0,1.0,0.0,,3847.6265692367965,0.0,0.0,0.0,0.0,0.0,3,681.0,1.0,121.0,457,44.9,1337.87
160754,1977-12-06,F,True,True,usa,new york,LGA,2022-04-26,8,2023-02-13 21:33:00,2023-06-26 19:58:00,50.0,6.5,0.0,0.0,0.0,0.0,1,93.62,1.0,1.0,0.0,,526.1200403921746,0.0,0.0,0.0,0.0,0.0,1,428.0,2.0,214.0,426,45.6,521.62
164522,1975-11-07,F,True,False,usa,kansas city,MCI,2022-04-30,8,2023-01-17 21:39:00,2023-07-14 21:10:00,78.5,10.5,0.0,0.0,25.0,12.5,1,328.32,1.0,1.0,1.0,0.05,1786.0731620565493,16.416,1.0,0.009191112855140841,0.05341855251611502,0.002670927625805751,1,3029.0,13.0,233.0,440,47.7,3357.32
